Sample	gene1	gene2
sample4	-12.578152865098	10.9207084174515
sample5	-5.30950141510074	-0.588209693948631
sample9	-4.56459618236789	-10.6269407077674
sample11	-0.920264061650327	-0.735329554516432
sample13	1.87695799391053	-3.95424145401828
sample15	4.77455800080061	-9.99938416072087
sample16	-11.414668829759	-0.312737643414659
sample17	-15.2971194037895	4.65943454194919
sample18	9.10468706365853	10.0790261656505
sample19	13.7914796943479	9.93303879187492
sample22	-7.68084043471439	-9.77503625338946
sample24	-6.41261073471555	-8.50281873900725
sample25	10.4647065168547	6.65441269229915
sample26	-14.0825343370665	-1.30978481757348
sample27	15.0646195382102	1.5064810083976
sample28	-9.39091852732421	-0.729166168122264
sample29	-6.5163924018011	-8.48062871151649
sample31	-6.44177953862084	-1.13256915863331
sample32	-4.8291981946229	-9.38640705134794
sample33	-3.90486710597814	1.36335745626452
sample37	6.78469215134976	5.51312701857125
sample40	5.17496918993412	2.88972349546632
sample41	8.64323313509133	-1.32457450113276
sample42	10.5551049750632	-9.77747392338944
sample44	1.72170167330045	-8.56596582771982
sample48	7.95821978349837	0.0376121987112921
sample49	9.4374477652281	1.49186661133701
sample50	7.56617107244556	-12.4857785480958
