obsMethySample	obsMethyIdx
sample1	1
sample2	2
sample3	3
sample4	4
sample5	5
sample6	6
sample7	7
sample8	8
sample9	9
sample10	10
sample11	11
sample12	12
sample13	13
sample14	14
sample15	15
sample16	16
sample17	17
sample18	18
sample19	19
sample20	20
sample21	21
sample22	22
sample23	23
sample24	24
sample25	25
sample26	26
sample27	27
sample28	28
sample29	29
sample30	30
sample31	31
sample32	32
sample33	33
sample34	34
sample35	35
sample36	36
sample37	37
sample38	38
sample39	39
sample40	40
sample41	41
sample42	42
sample43	43
sample44	44
sample45	45
sample46	46
sample47	47
sample48	48
sample49	49
sample50	50
